#tr	v1,v2,v3,direction	plane	beta(rad)	Z_S(rad)	Area(m^2)
78	<1.05,0,-0.858825>,<1.05,3,-0.858825>,<1.1,0,-1.15323>,1	<-0.883215,0,-0.15>	1.40257	1.5708	0.447931
79	<1.05,3,-0.858825>,<1.1,0,-1.15323>,<1.1,3,-1.15323>,1	<0.883215,-0,0.15>	1.40257	1.5708	0.447931
80	<1.1,0,-1.15323>,<1.1,3,-1.15323>,<1.15,0,-1.41409>,1	<-0.78258,0,-0.15>	1.38142	1.5708	0.398413
81	<1.1,3,-1.15323>,<1.15,0,-1.41409>,<1.15,3,-1.41409>,1	<0.78258,-0,0.15>	1.38142	1.5708	0.398413
82	<1.15,0,-1.41409>,<1.15,3,-1.41409>,<1.2,0,-1.63384>,1	<-0.65925,0,-0.15>	1.34707	1.5708	0.33805
83	<1.15,3,-1.41409>,<1.2,0,-1.63384>,<1.2,3,-1.63384>,1	<0.65925,-0,0.15>	1.34707	1.5708	0.33805
84	<1.2,0,-1.63384>,<1.2,3,-1.63384>,<1.25,0,-1.80607>,1	<-0.51669,0,-0.15>	1.28825	1.5708	0.269011
85	<1.2,3,-1.63384>,<1.25,0,-1.80607>,<1.25,3,-1.80607>,1	<0.51669,-0,0.15>	1.28825	1.5708	0.269011
86	<1.25,0,-1.80607>,<1.25,3,-1.80607>,<1.3,0,-1.92578>,1	<-0.35913,0,-0.15>	1.17515	1.5708	0.194599
87	<1.25,3,-1.80607>,<1.3,0,-1.92578>,<1.3,3,-1.92578>,1	<0.35913,-0,0.15>	1.17515	1.5708	0.194599
88	<1.3,0,-1.92578>,<1.3,3,-1.92578>,<1.35,0,-1.98949>,1	<-0.19113,0,-0.15>	0.905388	1.5708	0.121481
89	<1.3,3,-1.92578>,<1.35,0,-1.98949>,<1.35,3,-1.98949>,1	<0.19113,-0,0.15>	0.905388	1.5708	0.121481
90	<1.35,0,-1.98949>,<1.35,3,-1.98949>,<1.4,0,-1.99535>,1	<-0.0175799,0,-0.15>	0.116667	1.5708	0.0755133
91	<1.35,3,-1.98949>,<1.4,0,-1.99535>,<1.4,3,-1.99535>,1	<0.0175799,-0,0.15>	0.116667	1.5708	0.0755133
92	<1.4,0,-1.99535>,<1.4,3,-1.99535>,<1.45,0,-1.94319>,-1	<0.15648,-0,-0.15>	0.806538	-1.5708	0.108381
93	<1.4,3,-1.99535>,<1.45,0,-1.94319>,<1.45,3,-1.94319>,-1	<-0.15648,-0,0.15>	0.806538	-1.5708	0.108381
94	<1.45,0,-1.94319>,<1.45,3,-1.94319>,<1.5,0,-1.83451>,-1	<0.32604,-0,-0.15>	1.1396	-1.5708	0.179445
95	<1.45,3,-1.94319>,<1.5,0,-1.83451>,<1.5,3,-1.83451>,-1	<-0.32604,-0,0.15>	1.1396	-1.5708	0.179445
96	<1.5,0,-1.83451>,<1.5,3,-1.83451>,<1.55,0,-1.67249>,-1	<0.48606,-0,-0.15>	1.27147	-1.5708	0.254339
97	<1.5,3,-1.83451>,<1.55,0,-1.67249>,<1.55,3,-1.67249>,-1	<-0.48606,-0,0.15>	1.27147	-1.5708	0.254339
98	<1.55,0,-1.67249>,<1.55,3,-1.67249>,<1.6,0,-1.46183>,-1	<0.63198,-0,-0.15>	1.33776	-1.5708	0.324769
99	<1.55,3,-1.67249>,<1.6,0,-1.46183>,<1.6,3,-1.46183>,-1	<-0.63198,-0,0.15>	1.33776	-1.5708	0.324769
100	<1.6,0,-1.46183>,<1.6,3,-1.46183>,<1.65,0,-1.20867>,-1	<0.75948,-0,-0.15>	1.3758	-1.5708	0.387076
101	<1.6,3,-1.46183>,<1.65,0,-1.20867>,<1.65,3,-1.20867>,-1	<-0.75948,-0,0.15>	1.3758	-1.5708	0.387076
102	<1.65,0,-1.20867>,<1.65,3,-1.20867>,<1.7,0,-0.920355>,-1	<0.864945,-0,-0.15>	1.39908	-1.5708	0.438928
103	<1.65,3,-1.20867>,<1.7,0,-0.920355>,<1.7,3,-0.920355>,-1	<-0.864945,-0,0.15>	1.39908	-1.5708	0.438928
104	<1.7,0,-0.920355>,<1.7,3,-0.920355>,<1.75,0,-0.605278>,-1	<0.945231,-0,-0.15>	1.41342	-1.5708	0.478529
105	<1.7,3,-0.920355>,<1.75,0,-0.605278>,<1.75,3,-0.605278>,-1	<-0.945231,-0,0.15>	1.41342	-1.5708	0.478529
106	<1.75,0,-0.605278>,<1.75,3,-0.605278>,<1.8,0,-0.272599>,-1	<0.998037,-0,-0.15>	1.42162	-1.5708	0.504623
